Trip_ID,Date,City,Driver_ID,Vehicle_Type,Distance_km,Fare_Amount,Rating,Surge_Pricing,Trip_Duration_min,Cancelled
T5000,2025-06-13,New York,D1001,Sedan,1.2,0.0,,Yes,3.6,Yes
T5001,2025-06-04,New York,D1035,Compact,0.27,0.0,,No,3.5,Yes
T5002,2025-03-29,Austin,D1009,Compact,10.31,16.43,5.0,No,14.3,No
T5003,2025-01-12,Denver,D1034,Compact,15.44,24.36,3.9,No,18.5,No
T5004,2025-02-19,New York,D1002,Sedan,8.01,9.29,4.3,No,16.6,No
T5005,2025-04-04,Chicago,D1023,Sedan,3.21,5.47,5.0,No,11.7,No
T5006,2025-03-04,Chicago,D1029,Sedan,17.13,27.97,3.8,No,24.7,No
T5007,2025-02-28,New York,D1020,Sedan,15.71,27.9,4.4,No,25.5,No
T5008,2025-06-14,Denver,D1009,Compact,12.26,22.73,4.2,No,11.2,No
T5009,2025-02-26,Chicago,D1032,Sedan,8.46,11.71,5.0,No,18.1,No
T5010,2025-04-09,Denver,D1038,Luxury,0.5,12.43,4.8,No,8.8,No
T5011,2025-05-18,Austin,D1021,Compact,1.93,6.28,4.4,No,6.0,No
T5012,2025-02-15,Seattle,D1006,SUV,5.92,16.75,5.0,No,14.7,No
T5013,2025-05-16,New York,D1038,Compact,16.96,27.49,4.3,No,30.4,No
T5014,2025-05-26,New York,D1005,Sedan,11.34,14.78,5.0,No,24.1,No
T5015,2025-02-12,Austin,D1033,SUV,5.11,13.49,4.4,No,8.1,No
T5016,2025-06-21,Austin,D1028,SUV,4.24,20.82,5.0,Yes,7.5,No
T5017,2025-06-11,New York,D1014,Compact,10.22,17.56,5.0,No,16.0,No
T5018,2025-05-27,Seattle,D1030,Compact,1.74,6.25,5.0,Yes,2.0,No
T5019,2025-01-14,New York,D1003,Sedan,0.92,8.36,5.0,No,3.5,No
T5020,2025-03-13,Denver,D1015,SUV,27.52,46.79,5.0,No,51.8,No
T5021,2025-01-04,New York,D1015,Compact,2.68,6.58,4.9,No,9.0,No
T5022,2025-03-09,Denver,D1018,Sedan,42.38,62.79,3.9,No,70.1,No
T5023,2025-01-15,Seattle,D1034,Compact,8.1,14.75,4.4,No,18.9,No
T5024,2025-05-11,New York,D1011,Compact,14.69,25.29,4.5,No,30.5,No
T5025,2025-01-11,Seattle,D1005,Sedan,1.42,4.47,5.0,No,4.6,No
T5026,2025-04-12,Chicago,D1019,Sedan,21.53,37.66,4.6,Yes,33.8,No
T5027,2025-05-10,Austin,D1008,SUV,22.05,34.45,5.0,No,41.9,No
T5028,2025-06-06,Seattle,D1000,Sedan,0.5,3.5,5.0,Yes,2.0,No
T5029,2025-02-09,Austin,D1018,Sedan,8.91,15.01,5.0,No,14.3,No
T5030,2025-01-14,New York,D1027,SUV,10.16,23.64,5.0,Yes,19.8,No
T5031,2025-05-24,New York,D1007,Compact,13.71,19.33,4.1,No,26.2,No
T5032,2025-02-02,New York,D1019,Sedan,17.73,48.6,4.9,Yes,29.6,No
T5033,2025-04-15,Seattle,D1009,SUV,9.36,20.17,5.0,No,17.9,No
T5034,2025-03-27,Denver,D1015,Compact,13.07,20.39,4.4,No,24.0,No
T5035,2025-04-28,Austin,D1019,SUV,13.92,24.52,4.9,No,20.0,No
T5036,2025-03-13,Austin,D1032,Sedan,19.85,31.8,5.0,No,43.0,No
T5037,2025-03-09,New York,D1006,Sedan,1.23,8.32,4.7,No,4.5,No
T5038,2025-02-18,Austin,D1002,Sedan,28.23,44.19,3.9,No,45.5,No
T5039,2025-04-04,Denver,D1004,SUV,23.78,38.42,5.0,No,47.2,No
T5040,2025-06-20,Denver,D1020,Sedan,10.58,19.73,4.4,No,24.6,No
T5041,2025-06-07,Seattle,D1019,Sedan,12.08,19.42,4.0,No,21.7,No
T5042,2025-04-24,Denver,D1013,Sedan,18.61,25.41,4.4,No,28.8,No
T5043,2025-06-08,Austin,D1005,SUV,10.09,17.04,4.8,No,17.2,No
T5044,2025-05-02,Seattle,D1004,Sedan,16.12,24.99,5.0,No,23.1,No
T5045,2025-06-26,New York,D1006,SUV,7.69,20.11,4.8,No,6.6,No
T5046,2025-02-01,Denver,D1008,SUV,0.5,1.24,4.4,No,10.9,No
T5047,2025-05-10,Denver,D1035,Sedan,22.31,38.98,3.7,No,37.3,No
